landslide_id,longitude,latitude,utm_x,utm_y
NEG00000,80.33851904596158,7.226569635417856,426972.97513221577,798848.5047590978
NEG00001,80.6562799019373,7.637471580565116,462089.3959722401,844235.232514785
NEG00002,81.02159184493,6.853423545595261,502385.5779209174,757545.4506419647
NEG00003,80.46074629996858,7.405374806706724,440490.9011428084,818598.1325236941
NEG00004,80.39029178602102,6.762554175737358,432622.3903516753,747542.3998862512
NEG00005,80.37433631100667,7.277106685254067,430935.03491905215,804429.9981416411
NEG00006,80.653854535594,7.612593269618775,461819.6823003511,841485.1107208924
NEG00007,80.56945954388696,7.28830465704108,452475.7132178038,805642.7957827809
NEG00008,80.19470957279842,6.8555429127066505,411024.9076535062,757854.3243878235
NEG00009,80.50935282848104,6.71349577611669,445774.4867959457,742104.1502396755
NEG00010,80.40831771952554,7.031077812438923,434651.28326380835,777225.7165568505
NEG00011,80.96706735876762,6.833889255214552,496361.28464415617,755386.0875295148
NEG00012,80.31166797708654,6.9449662656490645,423962.3609924214,767720.3141190801
NEG00013,80.4858338344691,6.745527215729505,443178.86356496206,745647.8792274112
NEG00014,80.45445128012052,7.372286340736127,439791.7173368517,814940.941647844
NEG00015,80.68988539477445,7.224681277846128,465764.00545417983,798598.3735012533
NEG00016,80.4037862638959,7.191669530025078,434173.65823702415,794980.2318264268
NEG00017,80.97518809815422,7.095593160315284,497260.06136293284,784316.4529672747
NEG00018,80.98033975764639,7.201115876473958,497829.4490054864,795981.6709100484
NEG00019,80.51764687268118,7.033455712122203,446726.7905574689,777474.7403120435
NEG00020,80.52611982789364,7.088576221292074,447668.7976473314,783567.3845516166
NEG00021,80.51580483719277,6.878434025243017,446505.80343629274,760337.2743104219
NEG00022,81.19172270407657,7.015857025956388,521175.29256205086,775506.1329625027
NEG00023,80.30833049390674,7.351932848197962,423661.2555220006,812713.0817343956
NEG00024,80.37571866651251,7.145571632533272,431067.74440770916,789888.0694152076
NEG00025,81.05333399903613,7.176657063731195,505888.55259141186,793278.1077411216
NEG00026,80.67683536205391,6.95600942633946,464302.6165313782,768898.0570919862
NEG00027,81.211889619992,6.9821163295996564,523404.3681966229,771777.1494799673
NEG00028,80.96100650837026,7.3549026129607595,495696.4645579015,812982.6065647884
NEG00029,80.18498473069934,7.305736489418855,410037.6348245701,807628.5659156893
NEG00030,81.07263110920526,6.895343551677811,508023.9567592449,762180.0944333676
NEG00031,80.14299919799166,6.8115083574827615,405302.4521051511,752995.852697237
NEG00032,80.68683316817781,6.798542611451966,465395.61100882717,751489.739433594
NEG00033,80.47720091849372,6.729902153871438,442222.9544394841,743921.54539657
NEG00034,81.00864758967917,7.37926938342121,500954.3431910802,815676.1333348843
NEG00035,80.56861112285156,7.052952676458989,452357.60731515824,779624.6296475346
NEG00036,80.88156190713241,7.67404201983918,486938.05239816994,848264.7749227637
NEG00037,81.31592253238007,7.030078773445983,534891.9017425163,777085.7454354397
NEG00038,80.54439489314733,7.005782838188658,449678.049665352,774412.5420310291
NEG00039,80.34065297196209,6.909822470580308,427158.98063435615,763830.4962160942
NEG00040,80.13054721818888,6.839766328905059,403932.05570247624,756122.4615491864
NEG00041,80.89948094090666,7.07467136249237,488899.3353695546,782004.7383737804
NEG00042,80.68278522591456,8.05059785667732,465047.3405532696,889905.0800356395
NEG00043,81.33904758535532,7.057773756035672,537443.7427051192,780149.1744946423
NEG00044,80.27609787864967,7.181071592031044,420073.4108907081,793828.899593513
NEG00045,80.90348861919679,7.207716532076434,489344.9972836713,796712.4361565198
NEG00046,80.4678921422644,7.4447860136296145,441284.7288562769,822954.2181848132
NEG00047,80.53318728051492,7.075511100995793,448447.8317090294,782122.2382845285
NEG00048,80.19115293587274,7.306748156958059,410718.7337747401,807739.1875165012
NEG00049,81.00981258162555,7.4266668101074105,501082.79543348344,820915.8492948421
NEG00050,80.70714700850662,7.651022083573642,467700.8529676322,845729.1131446803
NEG00051,80.36905520154164,7.542795038125386,430393.765216327,833803.9931248243
NEG00052,80.59105976047336,7.207036498260707,454851.95749514777,796656.3476086055
NEG00053,80.84723103067212,6.86663823018881,483121.7457390885,759008.9162250094
NEG00054,80.34829177833274,7.217459157265418,428050.4832091045,797839.7444050319
NEG00055,81.13474017594835,6.881429057411024,514885.9291736124,760643.3891471919
NEG00056,80.24974155070926,7.025700779864355,417135.4130324629,776656.3621207272
NEG00057,80.3911618214245,7.527583769117908,432830.32908000547,832118.8443373017
NEG00058,80.45032189181597,7.239086951622901,439318.0076997051,800215.9148237628
NEG00059,80.25148279893769,7.205405731693784,417359.8938612198,796523.5664170176
NEG00060,80.40871013623618,7.2921473687171,434731.75991030876,806087.6956354062
NEG00061,81.26870212619679,7.064350743857839,529674.4477065654,780871.1847052884
NEG00062,80.34073945730158,7.149325332275506,427205.8222104361,790308.4392094257
NEG00063,80.86653671252031,7.039301329263969,485260.0665726995,778095.598939665
NEG00064,80.32970210250951,7.083601543096278,425976.51519503444,783044.1408241285
NEG00065,80.92757790588769,6.930132740436168,491999.7193689858,766025.9039703567
NEG00066,81.22669566829057,7.1102926644741515,525032.9080401446,785947.49593931
NEG00067,80.6353376036195,7.452460766982723,459762.4431782587,823783.9329211308
NEG00068,80.27921702067775,7.384873349171974,420453.7501114097,816359.9474639235
NEG00069,80.28869502560012,7.146095432346623,421458.35520836397,789959.9108284446
NEG00070,81.21303282475834,6.966930472300207,523531.3999212554,770098.4530049423
NEG00071,80.50929651721549,7.376404075898251,445845.2436658972,815389.1427648533
NEG00072,80.50846035167626,6.870857288305591,445693.5004309294,759500.4940913994
NEG00073,81.11171923650045,6.950979469818742,512340.79531652795,768331.2778080201
NEG00074,81.02103865340749,6.782872050750855,502324.7984641629,749746.2836628007
NEG00075,81.00840756111026,6.991936678979144,500928.63969610096,772857.5020372033
NEG00076,80.30713811366834,7.584010140194179,423569.9762296383,838370.9760339159
NEG00077,81.36929577008199,6.861141805003781,540801.3120766622,758414.3272404419
NEG00078,80.43246794249974,6.772958721911412,437284.68872861785,748686.9917307063
NEG00079,80.58129387769898,7.152497485996293,453768.25374046405,790628.0223434202
NEG00080,80.1527418446801,7.169098988622797,406450.233686378,792528.5654002366
NEG00081,80.46067499079042,7.160596697411729,440450.7393125579,791537.2711999987
NEG00082,80.8875600141501,7.606433089062359,487597.6045027667,840790.438114458
NEG00083,80.39491659264041,7.0210870860992545,433169.70749909687,776123.1073144943
NEG00084,80.97853874778559,6.788012190809644,497628.5289650734,750314.5053153594
NEG00085,80.651676838543,7.359506351248993,461557.3154179369,813506.3228149127
NEG00086,80.27896429856447,7.4033518583577465,420429.1668205202,818402.9202303779
NEG00087,80.54911018169595,6.872675194377076,450184.8768073883,759697.0434052375
NEG00088,81.42759667053237,6.854182488948405,547243.4293565978,757650.3340817409
NEG00089,80.45088441971498,7.661914478649051,439438.20370756637,846960.9683663809
NEG00090,80.63347354038687,6.942971204238685,459511.6111316746,767460.1925311836
NEG00091,80.73285238915788,7.281987349261686,470511.2361120037,804930.4922033906
NEG00092,80.68172426093949,7.74165516710767,464904.37138680957,855750.7374984067
NEG00093,80.73223237095792,6.89586338382701,470418.17696598254,762245.2487004461
NEG00094,81.18944884313773,7.153387321594666,520917.9492254787,790709.6642906475
NEG00095,80.82712296150143,6.997063013459546,480905.4058411289,773427.7013212757
NEG00096,80.93191034798937,6.944069998517867,492478.5343657797,767566.5456870465
NEG00097,80.69748981348903,7.770342109455575,466645.0831318407,858920.8607535528
NEG00098,80.50394530456244,7.13071920091498,445224.97035669675,788228.8949573186
NEG00099,80.67475619573585,6.7810115316659045,464059.81218086754,749552.6059407386
NEG00100,80.18804435109546,7.288264902575949,410371.9044108445,805696.3189444209
NEG00101,80.99709536529603,7.3933712809238745,499679.4562895418,817235.0672278978
NEG00102,80.77433505715189,7.233742856794961,475087.6213189603,799594.6350530181
NEG00103,80.70619039483495,7.0789303764782305,467553.7719673289,782484.6121211026
NEG00104,80.38617369957488,7.5510878176007274,432283.6501758241,834718.111284879
NEG00105,80.87176162720411,7.605268200913181,485854.96437862515,840662.1444753158
NEG00106,80.87279574401444,6.8778721563050755,485946.5268196006,760249.9590795654
NEG00107,80.76113154122315,7.397673276632666,473639.6261631664,817717.7200612399
NEG00108,80.02262686338022,6.575138966012279,391948.30645463127,726887.9021434747
NEG00109,80.40017711473553,7.667891396112665,433846.44262477156,847629.2270261883
NEG00110,80.23673416027943,7.341432645387657,415756.8414699964,811565.0428625186
NEG00111,80.75220842049913,7.368737449937617,472653.12984149787,814519.420722305
NEG00112,80.75823754851268,7.378440885669454,473319.1036003246,815591.7640424692
NEG00113,80.75235986651835,7.3218258312874065,472666.97817394335,809333.3697434254
NEG00114,80.91090170683422,6.9364667605527925,490157.67309800937,766726.4200912893
NEG00115,80.69225688876016,7.747320495488793,466066.2475161467,856376.194761228
NEG00116,80.45300754527574,7.200795546433185,439609.42128087947,795982.3470285868
NEG00117,80.45517616548729,7.753751102840313,439924.5020931609,857113.351519121
NEG00118,80.53569707156112,7.343835651874344,448755.1736179141,811785.5273096052
