landslide_id,label,status,terrain_tif,contour_png,elev_mean,elev_min,elev_max,relief_m,slope_mean,slope_max,slope_p90,curv_mean,curv_std
LS_00002,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00002.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00002.png,280.55657958984375,193.32223510742188,404.0560302734375,210.73379516601562,21.308122634887695,38.28422164916992,32.11277770996094,0.04990507662296295,0.7474087476730347
LS_00005,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00005.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00005.png,230.64999389648438,174.22531127929688,373.18634033203125,198.96102905273438,17.103866577148438,44.34495162963867,30.352184295654297,0.007965944707393646,0.7933015823364258
LS_00006,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00006.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00006.png,353.80706787109375,275.5899353027344,471.26373291015625,195.67379760742188,16.783597946166992,34.75823211669922,26.840452194213867,0.06916244328022003,0.607640266418457
LS_00011,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00011.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00011.png,295.9005432128906,232.54466247558594,387.70013427734375,155.1554718017578,19.33814239501953,36.491783142089844,30.018287658691406,0.10314678400754929,0.8466012477874756
LS_00020,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00020.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00020.png,153.54562377929688,118.59053039550781,218.70091247558594,100.11038208007812,12.478599548339844,33.17863082885742,24.306255340576172,0.0006600469350814819,0.6192179918289185
LS_00025,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00025.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00025.png,215.82293701171875,132.91566467285156,360.63116455078125,227.7154998779297,18.728883743286133,45.53294372558594,35.6904182434082,0.010062010958790779,0.6861203908920288
LS_00028,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00028.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00028.png,282.69171142578125,138.85736083984375,430.936767578125,292.07940673828125,24.884315490722656,43.6813850402832,35.59231185913086,-0.06624531745910645,0.8534188270568848
LS_00032,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00032.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00032.png,363.6575622558594,169.9512939453125,574.6122436523438,404.66094970703125,31.060131072998047,47.64426803588867,39.933349609375,-0.11354252696037292,0.7108517289161682
LS_00035,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00035.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00035.png,349.1222839355469,220.2242889404297,551.9501953125,331.72589111328125,26.065868377685547,55.09178161621094,39.164573669433594,-0.0031403303146362305,1.1688082218170166
LS_00040,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00040.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00040.png,345.0128173828125,152.83106994628906,505.6783142089844,352.84722900390625,28.32147789001465,49.925235748291016,41.262672424316406,-0.04406197369098663,0.7846447825431824
LS_00041,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00041.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00041.png,190.30642700195312,128.9063720703125,391.9100646972656,263.0036926269531,16.939149856567383,50.42316436767578,35.80071258544922,-0.014874625951051712,0.7564451098442078
LS_00046,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00046.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00046.png,232.27020263671875,124.92321014404297,401.128662109375,276.2054443359375,22.150741577148438,44.138999938964844,35.33312225341797,0.009252391755580902,0.6324935555458069
LS_00047,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00047.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00047.png,262.7344665527344,119.61563873291016,385.1160583496094,265.50042724609375,24.723464965820312,47.255821228027344,36.90336990356445,-0.06505931168794632,1.083132266998291
LS_00053,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00053.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00053.png,550.4434204101562,451.3927917480469,640.1295776367188,188.73678588867188,22.88184356689453,44.93415451049805,36.50896453857422,0.1043444573879242,0.9951812624931335
LS_00057,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00057.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00057.png,400.78631591796875,349.9111328125,502.4695739746094,152.55844116210938,16.115398406982422,43.13311767578125,24.296396255493164,0.0583781823515892,0.8338208794593811
LS_00059,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00059.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00059.png,815.3941040039062,638.2034912109375,1037.319580078125,399.1160888671875,26.773887634277344,45.89013671875,34.761714935302734,-0.09318146854639053,0.9491856098175049
LS_00063,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00063.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00063.png,407.9562072753906,366.1911926269531,471.2522888183594,105.06109619140625,13.34194564819336,27.723806381225586,19.92654037475586,0.02358175814151764,0.592082679271698
LS_00066,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00066.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00066.png,469.98797607421875,343.3421325683594,691.7517700195312,348.4096374511719,21.487506866455078,51.27641677856445,36.7553825378418,-0.07983507215976715,0.9212037324905396
LS_00073,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00073.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00073.png,713.5860595703125,604.7769165039062,813.2267456054688,208.4498291015625,19.665813446044922,41.88627243041992,29.795726776123047,0.05113263055682182,0.8131619691848755
LS_00076,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00076.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00076.png,673.7471313476562,571.5210571289062,839.349365234375,267.82830810546875,22.249614715576172,47.47517776489258,39.31727981567383,-0.03845060616731644,1.2459654808044434
LS_00077,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00077.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00077.png,357.6201171875,281.66571044921875,413.5296325683594,131.86392211914062,13.63459587097168,28.84652328491211,21.512451171875,-0.011980883777141571,0.7670176029205322
LS_00082,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00082.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00082.png,620.0927124023438,535.3251953125,717.713134765625,182.387939453125,16.476383209228516,36.051910400390625,26.316207885742188,-0.023814111948013306,0.6960070133209229
LS_00084,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00084.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00084.png,848.85986328125,682.2305908203125,1016.5819702148438,334.35137939453125,26.537620544433594,48.185821533203125,40.743682861328125,-0.13101032376289368,0.8210638165473938
LS_00086,1,success,E:\LandSlide-Prediction\data\terrain\patches\LS_00086.tif,E:\LandSlide-Prediction\data\terrain\contours\LS_00086.png,1164.986572265625,984.4328002929688,1324.6107177734375,340.17791748046875,30.20586395263672,48.30117416381836,38.51637268066406,-0.05355355888605118,1.1056994199752808
